"ark","titre"
"cb327032275","
Asmodée"
"cb32760835z","
Echo de Nancy (L')"
"cb32788572p","
Illustré de l'Est (L')"
"cb32788929n","
Impartial de l'Est (L'). Littéraire illustré : lectures de la famille"
"cb32788930v","
Impartial de l'Est (L'). Supplément illustré"
"cb328341226","
Patriote lorrain (Le)"
"cb344146295","
Pays lorrain (Le)"
"cb32836760w","
Petit Lorrain (Le). Supplément illustré"
"cb32836760w","
Petit lorrain (Le)"
"cb328439618","
Progrès de l'Est (Le). Supplément illustré"
"cb32874027g","
Supplément comique et amusant de L'Impartial de l'Est"
"cb32877740b","
Tire-pied (Le)"
