"","annee","count","date"
"1851/01",1851,0,"1851/01"
"1851/02",1851,0,"1851/02"
"1851/03",1851,0,"1851/03"
"1851/04",1851,0,"1851/04"
"1851/05",1851,0,"1851/05"
"1851/06",1851,0,"1851/06"
"1851/07",1851,0,"1851/07"
"1851/08",1851,0,"1851/08"
"1851/09",1851,252,"1851/09"
"1851/10",1851,814,"1851/10"
"1851/11",1851,608,"1851/11"
"1851/12",1851,502,"1851/12"
"1852/01",1852,672,"1852/01"
"1852/02",1852,539,"1852/02"
"1852/03",1852,645,"1852/03"
"1852/04",1852,658,"1852/04"
"1852/05",1852,633,"1852/05"
"1852/06",1852,640,"1852/06"
"1852/07",1852,743,"1852/07"
"1852/08",1852,734,"1852/08"
"1852/09",1852,865,"1852/09"
"1852/10",1852,1188,"1852/10"
"1852/11",1852,1133,"1852/11"
"1852/12",1852,1115,"1852/12"
"1853/01",1853,1228,"1853/01"
"1853/02",1853,1055,"1853/02"
"1853/03",1853,1088,"1853/03"
"1853/04",1853,838,"1853/04"
"1853/05",1853,906,"1853/05"
"1853/06",1853,735,"1853/06"
"1853/07",1853,940,"1853/07"
"1853/08",1853,1016,"1853/08"
"1853/09",1853,828,"1853/09"
"1853/10",1853,762,"1853/10"
"1853/11",1853,904,"1853/11"
"1853/12",1853,922,"1853/12"
"1854/01",1854,848,"1854/01"
"1854/02",1854,748,"1854/02"
"1854/03",1854,930,"1854/03"
"1854/04",1854,765,"1854/04"
"1854/05",1854,928,"1854/05"
"1854/06",1854,1002,"1854/06"
"1854/07",1854,1038,"1854/07"
"1854/08",1854,1074,"1854/08"
"1854/09",1854,849,"1854/09"
"1854/10",1854,837,"1854/10"
"1854/11",1854,769,"1854/11"
"1854/12",1854,670,"1854/12"
"1855/01",1855,800,"1855/01"
"1855/02",1855,723,"1855/02"
"1855/03",1855,733,"1855/03"
"1855/04",1855,674,"1855/04"
"1855/05",1855,812,"1855/05"
"1855/06",1855,755,"1855/06"
"1855/07",1855,851,"1855/07"
"1855/08",1855,910,"1855/08"
"1855/09",1855,727,"1855/09"
"1855/10",1855,781,"1855/10"
"1855/11",1855,735,"1855/11"
"1855/12",1855,652,"1855/12"
"1856/01",1856,862,"1856/01"
"1856/02",1856,664,"1856/02"
"1856/03",1856,647,"1856/03"
"1856/04",1856,617,"1856/04"
"1856/05",1856,599,"1856/05"
"1856/06",1856,643,"1856/06"
"1856/07",1856,768,"1856/07"
"1856/08",1856,768,"1856/08"
"1856/09",1856,735,"1856/09"
"1856/10",1856,656,"1856/10"
"1856/11",1856,689,"1856/11"
"1856/12",1856,741,"1856/12"
"1857/01",1857,905,"1857/01"
"1857/02",1857,664,"1857/02"
"1857/03",1857,696,"1857/03"
"1857/04",1857,695,"1857/04"
"1857/05",1857,707,"1857/05"
"1857/06",1857,721,"1857/06"
"1857/07",1857,827,"1857/07"
"1857/08",1857,853,"1857/08"
"1857/09",1857,659,"1857/09"
"1857/10",1857,733,"1857/10"
"1857/11",1857,645,"1857/11"
"1857/12",1857,776,"1857/12"
"1858/01",1858,846,"1858/01"
"1858/02",1858,799,"1858/02"
"1858/03",1858,712,"1858/03"
"1858/04",1858,624,"1858/04"
"1858/05",1858,780,"1858/05"
"1858/06",1858,831,"1858/06"
"1858/07",1858,939,"1858/07"
"1858/08",1858,855,"1858/08"
"1858/09",1858,677,"1858/09"
"1858/10",1858,708,"1858/10"
"1858/11",1858,675,"1858/11"
"1858/12",1858,742,"1858/12"
"1859/01",1859,761,"1859/01"
"1859/02",1859,622,"1859/02"
"1859/03",1859,690,"1859/03"
"1859/04",1859,625,"1859/04"
"1859/05",1859,594,"1859/05"
"1859/06",1859,746,"1859/06"
"1859/07",1859,752,"1859/07"
"1859/08",1859,805,"1859/08"
"1859/09",1859,526,"1859/09"
"1859/10",1859,574,"1859/10"
"1859/11",1859,603,"1859/11"
"1859/12",1859,578,"1859/12"
"1860/01",1860,885,"1860/01"
"1860/02",1860,955,"1860/02"
"1860/03",1860,1060,"1860/03"
"1860/04",1860,875,"1860/04"
"1860/05",1860,1012,"1860/05"
"1860/06",1860,933,"1860/06"
"1860/07",1860,1125,"1860/07"
"1860/08",1860,1184,"1860/08"
"1860/09",1860,985,"1860/09"
"1860/10",1860,940,"1860/10"
"1860/11",1860,969,"1860/11"
"1860/12",1860,1006,"1860/12"
"1861/01",1861,1116,"1861/01"
"1861/02",1861,963,"1861/02"
"1861/03",1861,971,"1861/03"
"1861/04",1861,956,"1861/04"
"1861/05",1861,1540,"1861/05"
"1861/06",1861,1690,"1861/06"
"1861/07",1861,1479,"1861/07"
"1861/08",1861,1684,"1861/08"
"1861/09",1861,1185,"1861/09"
"1861/10",1861,1245,"1861/10"
"1861/11",1861,1395,"1861/11"
"1861/12",1861,1498,"1861/12"
"1862/01",1862,1479,"1862/01"
"1862/02",1862,1172,"1862/02"
"1862/03",1862,1284,"1862/03"
"1862/04",1862,1184,"1862/04"
"1862/05",1862,1296,"1862/05"
"1862/06",1862,1241,"1862/06"
"1862/07",1862,1472,"1862/07"
"1862/08",1862,1543,"1862/08"
"1862/09",1862,1352,"1862/09"
"1862/10",1862,1249,"1862/10"
"1862/11",1862,1253,"1862/11"
"1862/12",1862,1080,"1862/12"
"1863/01",1863,991,"1863/01"
"1863/02",1863,971,"1863/02"
"1863/03",1863,1084,"1863/03"
"1863/04",1863,844,"1863/04"
"1863/05",1863,1065,"1863/05"
"1863/06",1863,1010,"1863/06"
"1863/07",1863,1251,"1863/07"
"1863/08",1863,1260,"1863/08"
"1863/09",1863,925,"1863/09"
"1863/10",1863,1072,"1863/10"
"1863/11",1863,1035,"1863/11"
"1863/12",1863,1061,"1863/12"
"1864/01",1864,887,"1864/01"
"1864/02",1864,826,"1864/02"
"1864/03",1864,978,"1864/03"
"1864/04",1864,1015,"1864/04"
"1864/05",1864,1052,"1864/05"
"1864/06",1864,1004,"1864/06"
"1864/07",1864,1162,"1864/07"
"1864/08",1864,1294,"1864/08"
"1864/09",1864,977,"1864/09"
"1864/10",1864,901,"1864/10"
"1864/11",1864,1122,"1864/11"
"1864/12",1864,922,"1864/12"
"1865/01",1865,828,"1865/01"
"1865/02",1865,996,"1865/02"
"1865/03",1865,1119,"1865/03"
"1865/04",1865,892,"1865/04"
"1865/05",1865,1083,"1865/05"
"1865/06",1865,1214,"1865/06"
"1865/07",1865,1379,"1865/07"
"1865/08",1865,1393,"1865/08"
"1865/09",1865,1182,"1865/09"
"1865/10",1865,1096,"1865/10"
"1865/11",1865,994,"1865/11"
"1865/12",1865,1176,"1865/12"
"1866/01",1866,862,"1866/01"
"1866/02",1866,731,"1866/02"
"1866/03",1866,728,"1866/03"
"1866/04",1866,715,"1866/04"
"1866/05",1866,755,"1866/05"
"1866/06",1866,757,"1866/06"
"1866/07",1866,884,"1866/07"
"1866/08",1866,943,"1866/08"
"1866/09",1866,582,"1866/09"
"1866/10",1866,929,"1866/10"
"1866/11",1866,925,"1866/11"
"1866/12",1866,823,"1866/12"
"1867/01",1867,943,"1867/01"
"1867/02",1867,780,"1867/02"
"1867/03",1867,918,"1867/03"
"1867/04",1867,812,"1867/04"
"1867/05",1867,881,"1867/05"
"1867/06",1867,921,"1867/06"
"1867/07",1867,896,"1867/07"
"1867/08",1867,1061,"1867/08"
"1867/09",1867,777,"1867/09"
"1867/10",1867,867,"1867/10"
"1867/11",1867,745,"1867/11"
"1867/12",1867,780,"1867/12"
"1868/01",1868,862,"1868/01"
"1868/02",1868,827,"1868/02"
"1868/03",1868,839,"1868/03"
"1868/04",1868,764,"1868/04"
"1868/05",1868,904,"1868/05"
"1868/06",1868,886,"1868/06"
"1868/07",1868,1084,"1868/07"
"1868/08",1868,1140,"1868/08"
"1868/09",1868,825,"1868/09"
"1868/10",1868,1001,"1868/10"
"1868/11",1868,811,"1868/11"
"1868/12",1868,904,"1868/12"
"1869/01",1869,1012,"1869/01"
"1869/02",1869,854,"1869/02"
"1869/03",1869,742,"1869/03"
"1869/04",1869,820,"1869/04"
"1869/05",1869,969,"1869/05"
"1869/06",1869,1021,"1869/06"
"1869/07",1869,1169,"1869/07"
"1869/08",1869,695,"1869/08"
"1869/09",1869,814,"1869/09"
"1869/10",1869,661,"1869/10"
"1869/11",1869,849,"1869/11"
"1869/12",1869,833,"1869/12"
"1870/01",1870,1025,"1870/01"
"1870/02",1870,902,"1870/02"
"1870/03",1870,1011,"1870/03"
"1870/04",1870,943,"1870/04"
"1870/05",1870,1173,"1870/05"
"1870/06",1870,941,"1870/06"
"1870/07",1870,1070,"1870/07"
"1870/08",1870,1123,"1870/08"
"1870/09",1870,1044,"1870/09"
"1870/10",1870,978,"1870/10"
"1870/11",1870,1037,"1870/11"
"1870/12",1870,1056,"1870/12"
"1871/01",1871,1224,"1871/01"
"1871/02",1871,1233,"1871/02"
"1871/03",1871,1474,"1871/03"
"1871/04",1871,1272,"1871/04"
"1871/05",1871,1363,"1871/05"
"1871/06",1871,1218,"1871/06"
"1871/07",1871,1431,"1871/07"
"1871/08",1871,1484,"1871/08"
"1871/09",1871,1209,"1871/09"
"1871/10",1871,1131,"1871/10"
"1871/11",1871,1335,"1871/11"
"1871/12",1871,1210,"1871/12"
"1872/01",1872,1348,"1872/01"
"1872/02",1872,1415,"1872/02"
"1872/03",1872,1263,"1872/03"
"1872/04",1872,1250,"1872/04"
"1872/05",1872,1299,"1872/05"
"1872/06",1872,1235,"1872/06"
"1872/07",1872,1482,"1872/07"
"1872/08",1872,1605,"1872/08"
"1872/09",1872,1386,"1872/09"
"1872/10",1872,1394,"1872/10"
"1872/11",1872,1372,"1872/11"
"1872/12",1872,1321,"1872/12"
"1873/01",1873,1206,"1873/01"
"1873/02",1873,1116,"1873/02"
"1873/03",1873,1259,"1873/03"
"1873/04",1873,1362,"1873/04"
"1873/05",1873,1458,"1873/05"
"1873/06",1873,1277,"1873/06"
"1873/07",1873,1419,"1873/07"
"1873/08",1873,1507,"1873/08"
"1873/09",1873,1124,"1873/09"
"1873/10",1873,1079,"1873/10"
"1873/11",1873,1422,"1873/11"
"1873/12",1873,1190,"1873/12"
"1874/01",1874,1221,"1874/01"
"1874/02",1874,1171,"1874/02"
"1874/03",1874,1232,"1874/03"
"1874/04",1874,1421,"1874/04"
"1874/05",1874,1355,"1874/05"
"1874/06",1874,1310,"1874/06"
"1874/07",1874,1557,"1874/07"
"1874/08",1874,1510,"1874/08"
"1874/09",1874,1438,"1874/09"
"1874/10",1874,1496,"1874/10"
"1874/11",1874,1403,"1874/11"
"1874/12",1874,1451,"1874/12"
"1875/01",1875,1455,"1875/01"
"1875/02",1875,1208,"1875/02"
"1875/03",1875,1494,"1875/03"
"1875/04",1875,1346,"1875/04"
"1875/05",1875,965,"1875/05"
"1875/06",1875,905,"1875/06"
"1875/07",1875,1409,"1875/07"
"1875/08",1875,1781,"1875/08"
"1875/09",1875,1329,"1875/09"
"1875/10",1875,1399,"1875/10"
"1875/11",1875,884,"1875/11"
"1875/12",1875,965,"1875/12"
"1876/01",1876,1385,"1876/01"
"1876/02",1876,1251,"1876/02"
"1876/03",1876,1448,"1876/03"
"1876/04",1876,1342,"1876/04"
"1876/05",1876,1395,"1876/05"
"1876/06",1876,1335,"1876/06"
"1876/07",1876,1455,"1876/07"
"1876/08",1876,1309,"1876/08"
"1876/09",1876,1130,"1876/09"
"1876/10",1876,1154,"1876/10"
"1876/11",1876,1314,"1876/11"
"1876/12",1876,1530,"1876/12"
"1877/01",1877,1305,"1877/01"
"1877/02",1877,1037,"1877/02"
"1877/03",1877,1102,"1877/03"
"1877/04",1877,1076,"1877/04"
"1877/05",1877,1055,"1877/05"
"1877/06",1877,1069,"1877/06"
"1877/07",1877,1383,"1877/07"
"1877/08",1877,1376,"1877/08"
"1877/09",1877,1138,"1877/09"
"1877/10",1877,1368,"1877/10"
"1877/11",1877,1192,"1877/11"
"1877/12",1877,882,"1877/12"
"1878/01",1878,1744,"1878/01"
"1878/02",1878,1518,"1878/02"
"1878/03",1878,1574,"1878/03"
"1878/04",1878,1409,"1878/04"
"1878/05",1878,1459,"1878/05"
"1878/06",1878,1619,"1878/06"
"1878/07",1878,1791,"1878/07"
"1878/08",1878,1843,"1878/08"
"1878/09",1878,1659,"1878/09"
"1878/10",1878,1505,"1878/10"
"1878/11",1878,1617,"1878/11"
"1878/12",1878,1569,"1878/12"
"1879/01",1879,1868,"1879/01"
"1879/02",1879,1611,"1879/02"
"1879/03",1879,1793,"1879/03"
"1879/04",1879,1664,"1879/04"
"1879/05",1879,1851,"1879/05"
"1879/06",1879,1674,"1879/06"
"1879/07",1879,1970,"1879/07"
"1879/08",1879,1911,"1879/08"
"1879/09",1879,1690,"1879/09"
"1879/10",1879,1736,"1879/10"
"1879/11",1879,1772,"1879/11"
"1879/12",1879,1784,"1879/12"
"1880/01",1880,1879,"1880/01"
"1880/02",1880,1722,"1880/02"
"1880/03",1880,1898,"1880/03"
"1880/04",1880,1703,"1880/04"
"1880/05",1880,1881,"1880/05"
"1880/06",1880,1679,"1880/06"
"1880/07",1880,2080,"1880/07"
"1880/08",1880,1972,"1880/08"
"1880/09",1880,1654,"1880/09"
"1880/10",1880,1638,"1880/10"
"1880/11",1880,1846,"1880/11"
"1880/12",1880,1738,"1880/12"
"1881/01",1881,1667,"1881/01"
"1881/02",1881,1718,"1881/02"
"1881/03",1881,1889,"1881/03"
"1881/04",1881,1809,"1881/04"
"1881/05",1881,1644,"1881/05"
"1881/06",1881,1661,"1881/06"
"1881/07",1881,2160,"1881/07"
"1881/08",1881,2037,"1881/08"
"1881/09",1881,1794,"1881/09"
"1881/10",1881,1883,"1881/10"
"1881/11",1881,1619,"1881/11"
"1881/12",1881,1848,"1881/12"
"1882/01",1882,1950,"1882/01"
"1882/02",1882,1745,"1882/02"
"1882/03",1882,1779,"1882/03"
"1882/04",1882,1746,"1882/04"
"1882/05",1882,1921,"1882/05"
"1882/06",1882,1793,"1882/06"
"1882/07",1882,1851,"1882/07"
"1882/08",1882,1910,"1882/08"
"1882/09",1882,1635,"1882/09"
"1882/10",1882,1639,"1882/10"
"1882/11",1882,1856,"1882/11"
"1882/12",1882,1789,"1882/12"
"1883/01",1883,2080,"1883/01"
"1883/02",1883,1813,"1883/02"
"1883/03",1883,1952,"1883/03"
"1883/04",1883,1831,"1883/04"
"1883/05",1883,1963,"1883/05"
"1883/06",1883,2076,"1883/06"
"1883/07",1883,2509,"1883/07"
"1883/08",1883,2593,"1883/08"
"1883/09",1883,1964,"1883/09"
"1883/10",1883,1960,"1883/10"
"1883/11",1883,2159,"1883/11"
"1883/12",1883,2254,"1883/12"
"1884/01",1884,2213,"1884/01"
"1884/02",1884,1970,"1884/02"
"1884/03",1884,2199,"1884/03"
"1884/04",1884,2095,"1884/04"
"1884/05",1884,2015,"1884/05"
"1884/06",1884,2047,"1884/06"
"1884/07",1884,2281,"1884/07"
"1884/08",1884,2378,"1884/08"
"1884/09",1884,2032,"1884/09"
"1884/10",1884,2019,"1884/10"
"1884/11",1884,2296,"1884/11"
"1884/12",1884,2278,"1884/12"
"1885/01",1885,2114,"1885/01"
"1885/02",1885,1961,"1885/02"
"1885/03",1885,2232,"1885/03"
"1885/04",1885,1821,"1885/04"
"1885/05",1885,2102,"1885/05"
"1885/06",1885,2119,"1885/06"
"1885/07",1885,2211,"1885/07"
"1885/08",1885,2305,"1885/08"
"1885/09",1885,2104,"1885/09"
"1885/10",1885,2057,"1885/10"
"1885/11",1885,2030,"1885/11"
"1885/12",1885,2135,"1885/12"
"1886/01",1886,2351,"1886/01"
"1886/02",1886,1969,"1886/02"
"1886/03",1886,2176,"1886/03"
"1886/04",1886,1946,"1886/04"
"1886/05",1886,2005,"1886/05"
"1886/06",1886,1953,"1886/06"
"1886/07",1886,2119,"1886/07"
"1886/08",1886,2052,"1886/08"
"1886/09",1886,1754,"1886/09"
"1886/10",1886,2002,"1886/10"
"1886/11",1886,1852,"1886/11"
"1886/12",1886,1898,"1886/12"
"1887/01",1887,2136,"1887/01"
"1887/02",1887,1882,"1887/02"
"1887/03",1887,2038,"1887/03"
"1887/04",1887,2009,"1887/04"
"1887/05",1887,2028,"1887/05"
"1887/06",1887,1980,"1887/06"
"1887/07",1887,2306,"1887/07"
"1887/08",1887,2089,"1887/08"
"1887/09",1887,1572,"1887/09"
"1887/10",1887,1792,"1887/10"
"1887/11",1887,1804,"1887/11"
"1887/12",1887,1833,"1887/12"
"1888/01",1888,1811,"1888/01"
"1888/02",1888,1600,"1888/02"
"1888/03",1888,1950,"1888/03"
"1888/04",1888,1463,"1888/04"
"1888/05",1888,2188,"1888/05"
"1888/06",1888,2128,"1888/06"
"1888/07",1888,2287,"1888/07"
"1888/08",1888,2059,"1888/08"
"1888/09",1888,2154,"1888/09"
"1888/10",1888,2348,"1888/10"
"1888/11",1888,1849,"1888/11"
"1888/12",1888,2185,"1888/12"
"1889/01",1889,2009,"1889/01"
"1889/02",1889,1726,"1889/02"
"1889/03",1889,2023,"1889/03"
"1889/04",1889,1896,"1889/04"
"1889/05",1889,1741,"1889/05"
"1889/06",1889,1725,"1889/06"
"1889/07",1889,2206,"1889/07"
"1889/08",1889,2212,"1889/08"
"1889/09",1889,2057,"1889/09"
"1889/10",1889,2215,"1889/10"
"1889/11",1889,2055,"1889/11"
"1889/12",1889,2248,"1889/12"
"1890/01",1890,1909,"1890/01"
"1890/02",1890,1946,"1890/02"
"1890/03",1890,2089,"1890/03"
"1890/04",1890,1664,"1890/04"
"1890/05",1890,1782,"1890/05"
"1890/06",1890,1854,"1890/06"
"1890/07",1890,2130,"1890/07"
"1890/08",1890,2193,"1890/08"
"1890/09",1890,1881,"1890/09"
"1890/10",1890,1976,"1890/10"
"1890/11",1890,2135,"1890/11"
"1890/12",1890,2215,"1890/12"
"1891/01",1891,2038,"1891/01"
"1891/02",1891,1857,"1891/02"
"1891/03",1891,2049,"1891/03"
"1891/04",1891,1842,"1891/04"
"1891/05",1891,2178,"1891/05"
"1891/06",1891,1904,"1891/06"
"1891/07",1891,2103,"1891/07"
"1891/08",1891,2238,"1891/08"
"1891/09",1891,2020,"1891/09"
"1891/10",1891,1942,"1891/10"
"1891/11",1891,2124,"1891/11"
"1891/12",1891,2305,"1891/12"
"1892/01",1892,2595,"1892/01"
"1892/02",1892,2003,"1892/02"
"1892/03",1892,2315,"1892/03"
"1892/04",1892,2124,"1892/04"
"1892/05",1892,2104,"1892/05"
"1892/06",1892,2190,"1892/06"
"1892/07",1892,2374,"1892/07"
"1892/08",1892,1989,"1892/08"
"1892/09",1892,2227,"1892/09"
"1892/10",1892,2353,"1892/10"
"1892/11",1892,2338,"1892/11"
"1892/12",1892,2342,"1892/12"
"1893/01",1893,2437,"1893/01"
"1893/02",1893,2307,"1893/02"
"1893/03",1893,2345,"1893/03"
"1893/04",1893,2468,"1893/04"
"1893/05",1893,2606,"1893/05"
"1893/06",1893,2290,"1893/06"
"1893/07",1893,2430,"1893/07"
"1893/08",1893,2266,"1893/08"
"1893/09",1893,2010,"1893/09"
"1893/10",1893,2224,"1893/10"
"1893/11",1893,2163,"1893/11"
"1893/12",1893,2488,"1893/12"
"1894/01",1894,2531,"1894/01"
"1894/02",1894,2312,"1894/02"
"1894/03",1894,2411,"1894/03"
"1894/04",1894,2234,"1894/04"
"1894/05",1894,2266,"1894/05"
"1894/06",1894,2318,"1894/06"
"1894/07",1894,2506,"1894/07"
"1894/08",1894,2639,"1894/08"
"1894/09",1894,2385,"1894/09"
"1894/10",1894,2267,"1894/10"
"1894/11",1894,2764,"1894/11"
"1894/12",1894,2802,"1894/12"
"1895/01",1895,2474,"1895/01"
"1895/02",1895,2354,"1895/02"
"1895/03",1895,2656,"1895/03"
"1895/04",1895,2477,"1895/04"
"1895/05",1895,2600,"1895/05"
"1895/06",1895,2689,"1895/06"
"1895/07",1895,2665,"1895/07"
"1895/08",1895,2825,"1895/08"
"1895/09",1895,2868,"1895/09"
"1895/10",1895,2790,"1895/10"
"1895/11",1895,2774,"1895/11"
"1895/12",1895,3171,"1895/12"
"1896/01",1896,2756,"1896/01"
"1896/02",1896,2172,"1896/02"
"1896/03",1896,2978,"1896/03"
"1896/04",1896,2507,"1896/04"
"1896/05",1896,2076,"1896/05"
"1896/06",1896,2457,"1896/06"
"1896/07",1896,2212,"1896/07"
"1896/08",1896,2118,"1896/08"
"1896/09",1896,1917,"1896/09"
"1896/10",1896,1661,"1896/10"
"1896/11",1896,1956,"1896/11"
"1896/12",1896,1523,"1896/12"
"1897/01",1897,2148,"1897/01"
"1897/02",1897,1990,"1897/02"
"1897/03",1897,2149,"1897/03"
"1897/04",1897,2326,"1897/04"
"1897/05",1897,2343,"1897/05"
"1897/06",1897,2348,"1897/06"
"1897/07",1897,2342,"1897/07"
"1897/08",1897,2272,"1897/08"
"1897/09",1897,2387,"1897/09"
"1897/10",1897,2396,"1897/10"
"1897/11",1897,2427,"1897/11"
"1897/12",1897,2659,"1897/12"
"1898/01",1898,2631,"1898/01"
"1898/02",1898,2320,"1898/02"
"1898/03",1898,2639,"1898/03"
"1898/04",1898,2766,"1898/04"
"1898/05",1898,2621,"1898/05"
"1898/06",1898,2511,"1898/06"
"1898/07",1898,2903,"1898/07"
"1898/08",1898,2889,"1898/08"
"1898/09",1898,2765,"1898/09"
"1898/10",1898,2601,"1898/10"
"1898/11",1898,2472,"1898/11"
"1898/12",1898,2556,"1898/12"
"1899/01",1899,2663,"1899/01"
"1899/02",1899,2408,"1899/02"
"1899/03",1899,2653,"1899/03"
"1899/04",1899,2515,"1899/04"
"1899/05",1899,2514,"1899/05"
"1899/06",1899,2458,"1899/06"
"1899/07",1899,2719,"1899/07"
"1899/08",1899,2907,"1899/08"
"1899/09",1899,2587,"1899/09"
"1899/10",1899,2505,"1899/10"
"1899/11",1899,2593,"1899/11"
"1899/12",1899,2608,"1899/12"
"1900/01",1900,2870,"1900/01"
"1900/02",1900,2488,"1900/02"
"1900/03",1900,2855,"1900/03"
"1900/04",1900,2754,"1900/04"
"1900/05",1900,2653,"1900/05"
"1900/06",1900,2663,"1900/06"
"1900/07",1900,2928,"1900/07"
"1900/08",1900,2926,"1900/08"
"1900/09",1900,2875,"1900/09"
"1900/10",1900,2625,"1900/10"
"1900/11",1900,2700,"1900/11"
"1900/12",1900,3042,"1900/12"
"1901/01",1901,2728,"1901/01"
"1901/02",1901,2575,"1901/02"
"1901/03",1901,2825,"1901/03"
"1901/04",1901,2717,"1901/04"
"1901/05",1901,2726,"1901/05"
"1901/06",1901,2723,"1901/06"
"1901/07",1901,2590,"1901/07"
"1901/08",1901,2631,"1901/08"
"1901/09",1901,2394,"1901/09"
"1901/10",1901,2602,"1901/10"
"1901/11",1901,3022,"1901/11"
"1901/12",1901,2712,"1901/12"
"1902/01",1902,2712,"1902/01"
"1902/02",1902,2555,"1902/02"
"1902/03",1902,2869,"1902/03"
"1902/04",1902,2544,"1902/04"
"1902/05",1902,2604,"1902/05"
"1902/06",1902,2741,"1902/06"
"1902/07",1902,2782,"1902/07"
"1902/08",1902,3027,"1902/08"
"1902/09",1902,74,"1902/09"
"1902/10",1902,2765,"1902/10"
"1902/11",1902,2740,"1902/11"
"1902/12",1902,2718,"1902/12"
"1903/01",1903,2727,"1903/01"
"1903/02",1903,2607,"1903/02"
"1903/03",1903,2919,"1903/03"
"1903/04",1903,2542,"1903/04"
"1903/05",1903,2915,"1903/05"
"1903/06",1903,2850,"1903/06"
"1903/07",1903,2855,"1903/07"
"1903/08",1903,3042,"1903/08"
"1903/09",1903,2781,"1903/09"
"1903/10",1903,2837,"1903/10"
"1903/11",1903,2895,"1903/11"
"1903/12",1903,2552,"1903/12"
"1904/01",1904,2779,"1904/01"
"1904/02",1904,2407,"1904/02"
"1904/03",1904,2527,"1904/03"
"1904/04",1904,2465,"1904/04"
"1904/05",1904,2566,"1904/05"
"1904/06",1904,2489,"1904/06"
"1904/07",1904,2828,"1904/07"
"1904/08",1904,2322,"1904/08"
"1904/09",1904,2268,"1904/09"
"1904/10",1904,2216,"1904/10"
"1904/11",1904,2081,"1904/11"
"1904/12",1904,2155,"1904/12"
"1905/01",1905,2110,"1905/01"
"1905/02",1905,2005,"1905/02"
"1905/03",1905,2259,"1905/03"
"1905/04",1905,2365,"1905/04"
"1905/05",1905,2139,"1905/05"
"1905/06",1905,2260,"1905/06"
"1905/07",1905,2412,"1905/07"
"1905/08",1905,2172,"1905/08"
"1905/09",1905,2330,"1905/09"
"1905/10",1905,2341,"1905/10"
"1905/11",1905,2173,"1905/11"
"1905/12",1905,2299,"1905/12"
"1906/01",1906,2262,"1906/01"
"1906/02",1906,2255,"1906/02"
"1906/03",1906,2523,"1906/03"
"1906/04",1906,2522,"1906/04"
"1906/05",1906,2160,"1906/05"
"1906/06",1906,2149,"1906/06"
"1906/07",1906,2321,"1906/07"
"1906/08",1906,2175,"1906/08"
"1906/09",1906,2235,"1906/09"
"1906/10",1906,2288,"1906/10"
"1906/11",1906,2298,"1906/11"
"1906/12",1906,2350,"1906/12"
"1907/01",1907,2407,"1907/01"
"1907/02",1907,2153,"1907/02"
"1907/03",1907,2593,"1907/03"
"1907/04",1907,2475,"1907/04"
"1907/05",1907,2490,"1907/05"
"1907/06",1907,2508,"1907/06"
"1907/07",1907,2561,"1907/07"
"1907/08",1907,2627,"1907/08"
"1907/09",1907,2671,"1907/09"
"1907/10",1907,2640,"1907/10"
"1907/11",1907,2445,"1907/11"
"1907/12",1907,2728,"1907/12"
"1908/01",1908,2630,"1908/01"
"1908/02",1908,2117,"1908/02"
"1908/03",1908,2397,"1908/03"
"1908/04",1908,2267,"1908/04"
"1908/05",1908,2462,"1908/05"
"1908/06",1908,2423,"1908/06"
"1908/07",1908,2528,"1908/07"
"1908/08",1908,2876,"1908/08"
"1908/09",1908,2529,"1908/09"
"1908/10",1908,2673,"1908/10"
"1908/11",1908,2380,"1908/11"
"1908/12",1908,2427,"1908/12"
"1909/01",1909,2519,"1909/01"
"1909/02",1909,2186,"1909/02"
"1909/03",1909,2573,"1909/03"
"1909/04",1909,2382,"1909/04"
"1909/05",1909,2615,"1909/05"
"1909/06",1909,2258,"1909/06"
"1909/07",1909,2503,"1909/07"
"1909/08",1909,2730,"1909/08"
"1909/09",1909,2403,"1909/09"
"1909/10",1909,2669,"1909/10"
"1909/11",1909,2429,"1909/11"
"1909/12",1909,2664,"1909/12"
"1910/01",1910,2995,"1910/01"
"1910/02",1910,2575,"1910/02"
"1910/03",1910,2757,"1910/03"
"1910/04",1910,2869,"1910/04"
"1910/05",1910,3059,"1910/05"
"1910/06",1910,2828,"1910/06"
"1910/07",1910,2992,"1910/07"
"1910/08",1910,2977,"1910/08"
"1910/09",1910,2749,"1910/09"
"1910/10",1910,2698,"1910/10"
"1910/11",1910,2670,"1910/11"
"1910/12",1910,2803,"1910/12"
"1911/01",1911,2672,"1911/01"
"1911/02",1911,2403,"1911/02"
"1911/03",1911,2691,"1911/03"
"1911/04",1911,2817,"1911/04"
"1911/05",1911,2646,"1911/05"
"1911/06",1911,2727,"1911/06"
"1911/07",1911,3001,"1911/07"
"1911/08",1911,2607,"1911/08"
"1911/09",1911,2689,"1911/09"
"1911/10",1911,2968,"1911/10"
"1911/11",1911,2819,"1911/11"
"1911/12",1911,3133,"1911/12"
"1912/01",1912,3147,"1912/01"
"1912/02",1912,2872,"1912/02"
"1912/03",1912,3558,"1912/03"
"1912/04",1912,2956,"1912/04"
"1912/05",1912,3123,"1912/05"
"1912/06",1912,3186,"1912/06"
"1912/07",1912,2751,"1912/07"
"1912/08",1912,2623,"1912/08"
"1912/09",1912,2909,"1912/09"
"1912/10",1912,2988,"1912/10"
"1912/11",1912,3059,"1912/11"
"1912/12",1912,3048,"1912/12"
"1913/01",1913,3007,"1913/01"
